,Date,Total
1970-01-01 00:00:00.000000000,2000-1,13
1970-01-01 00:00:00.000000001,2000-2,44
1970-01-01 00:00:00.000000002,2000-3,172
1970-01-01 00:00:00.000000003,2000-4,189
1970-01-01 00:00:00.000000004,2000-5,423
1970-01-01 00:00:00.000000005,2000-6,165
1970-01-01 00:00:00.000000006,2000-7,197
1970-01-01 00:00:00.000000007,2000-8,356
1970-01-01 00:00:00.000000008,2000-9,216
1970-01-01 00:00:00.000000009,2000-10,278
1970-01-01 00:00:00.000000010,2000-11,0
1970-01-01 00:00:00.000000011,2000-12,0
1970-01-01 00:00:00.000000012,2001-1,0
1970-01-01 00:00:00.000000013,2001-2,1
1970-01-01 00:00:00.000000014,2001-3,32
1970-01-01 00:00:00.000000015,2001-4,46
1970-01-01 00:00:00.000000016,2001-5,401
1970-01-01 00:00:00.000000017,2001-6,386
1970-01-01 00:00:00.000000018,2001-7,200
1970-01-01 00:00:00.000000019,2001-8,205
1970-01-01 00:00:00.000000020,2001-9,209
1970-01-01 00:00:00.000000021,2001-10,166
1970-01-01 00:00:00.000000022,2001-11,18
1970-01-01 00:00:00.000000023,2001-12,0
1970-01-01 00:00:00.000000024,2002-1,22
1970-01-01 00:00:00.000000025,2002-2,4
1970-01-01 00:00:00.000000026,2002-3,51
1970-01-01 00:00:00.000000027,2002-4,111
1970-01-01 00:00:00.000000028,2002-5,272
1970-01-01 00:00:00.000000029,2002-6,373
1970-01-01 00:00:00.000000030,2002-7,445
1970-01-01 00:00:00.000000031,2002-8,272
1970-01-01 00:00:00.000000032,2002-9,156
1970-01-01 00:00:00.000000033,2002-10,52
1970-01-01 00:00:00.000000034,2002-11,36
1970-01-01 00:00:00.000000035,2002-12,0
1970-01-01 00:00:00.000000036,2003-1,0
1970-01-01 00:00:00.000000037,2003-2,25
1970-01-01 00:00:00.000000038,2003-3,81
1970-01-01 00:00:00.000000039,2003-4,123
1970-01-01 00:00:00.000000040,2003-5,140
1970-01-01 00:00:00.000000041,2003-6,473
1970-01-01 00:00:00.000000042,2003-7,187
1970-01-01 00:00:00.000000043,2003-8,199
1970-01-01 00:00:00.000000044,2003-9,264
1970-01-01 00:00:00.000000045,2003-10,134
1970-01-01 00:00:00.000000046,2003-11,0
1970-01-01 00:00:00.000000047,2003-12,45
1970-01-01 00:00:00.000000048,2004-1,0
1970-01-01 00:00:00.000000049,2004-2,0
1970-01-01 00:00:00.000000050,2004-3,9
1970-01-01 00:00:00.000000051,2004-4,167
1970-01-01 00:00:00.000000052,2004-5,132
1970-01-01 00:00:00.000000053,2004-6,476
1970-01-01 00:00:00.000000054,2004-7,292
1970-01-01 00:00:00.000000055,2004-8,190
1970-01-01 00:00:00.000000056,2004-9,839
1970-01-01 00:00:00.000000057,2004-10,208
1970-01-01 00:00:00.000000058,2004-11,0
1970-01-01 00:00:00.000000059,2004-12,0
1970-01-01 00:00:00.000000060,2005-1,1
1970-01-01 00:00:00.000000061,2005-2,3
1970-01-01 00:00:00.000000062,2005-3,63
1970-01-01 00:00:00.000000063,2005-4,91
1970-01-01 00:00:00.000000064,2005-5,291
1970-01-01 00:00:00.000000065,2005-6,259
1970-01-01 00:00:00.000000066,2005-7,535
1970-01-01 00:00:00.000000067,2005-8,361
1970-01-01 00:00:00.000000068,2005-9,514
1970-01-01 00:00:00.000000069,2005-10,417
1970-01-01 00:00:00.000000070,2005-11,3
1970-01-01 00:00:00.000000071,2005-12,0
1970-01-01 00:00:00.000000072,2006-1,0
1970-01-01 00:00:00.000000073,2006-2,0
1970-01-01 00:00:00.000000074,2006-3,0
1970-01-01 00:00:00.000000075,2006-4,181
1970-01-01 00:00:00.000000076,2006-5,184
1970-01-01 00:00:00.000000077,2006-6,326
1970-01-01 00:00:00.000000078,2006-7,326
1970-01-01 00:00:00.000000079,2006-8,166
1970-01-01 00:00:00.000000080,2006-9,663
1970-01-01 00:00:00.000000081,2006-10,61
1970-01-01 00:00:00.000000082,2006-11,5
1970-01-01 00:00:00.000000083,2006-12,0
1970-01-01 00:00:00.000000084,2007-1,0
1970-01-01 00:00:00.000000085,2007-2,30
1970-01-01 00:00:00.000000086,2007-3,11
1970-01-01 00:00:00.000000087,2007-4,163
1970-01-01 00:00:00.000000088,2007-5,185
1970-01-01 00:00:00.000000089,2007-6,628
1970-01-01 00:00:00.000000090,2007-7,749
1970-01-01 00:00:00.000000091,2007-8,487
1970-01-01 00:00:00.000000092,2007-9,179
1970-01-01 00:00:00.000000093,2007-10,220
1970-01-01 00:00:00.000000094,2007-11,111
1970-01-01 00:00:00.000000095,2007-12,0
1970-01-01 00:00:00.000000096,2008-1,23
1970-01-01 00:00:00.000000097,2008-2,56
1970-01-01 00:00:00.000000098,2008-3,45
1970-01-01 00:00:00.000000099,2008-4,91
1970-01-01 00:00:00.000000100,2008-5,203
1970-01-01 00:00:00.000000101,2008-6,577
1970-01-01 00:00:00.000000102,2008-7,563
1970-01-01 00:00:00.000000103,2008-8,318
1970-01-01 00:00:00.000000104,2008-9,279
1970-01-01 00:00:00.000000105,2008-10,227
1970-01-01 00:00:00.000000106,2008-11,0
1970-01-01 00:00:00.000000107,2008-12,0
1970-01-01 00:00:00.000000108,2009-1,1
1970-01-01 00:00:00.000000109,2009-2,1
1970-01-01 00:00:00.000000110,2009-3,39
1970-01-01 00:00:00.000000111,2009-4,14
1970-01-01 00:00:00.000000112,2009-5,168
1970-01-01 00:00:00.000000113,2009-6,170
1970-01-01 00:00:00.000000114,2009-7,657
1970-01-01 00:00:00.000000115,2009-8,426
1970-01-01 00:00:00.000000116,2009-9,298
1970-01-01 00:00:00.000000117,2009-10,74
1970-01-01 00:00:00.000000118,2009-11,4
1970-01-01 00:00:00.000000119,2009-12,0
1970-01-01 00:00:00.000000120,2010-1,0
1970-01-01 00:00:00.000000121,2010-2,48
1970-01-01 00:00:00.000000122,2010-3,22
1970-01-01 00:00:00.000000123,2010-4,37
1970-01-01 00:00:00.000000124,2010-5,177
1970-01-01 00:00:00.000000125,2010-6,308
1970-01-01 00:00:00.000000126,2010-7,158
1970-01-01 00:00:00.000000127,2010-8,333
1970-01-01 00:00:00.000000128,2010-9,169
1970-01-01 00:00:00.000000129,2010-10,174
1970-01-01 00:00:00.000000130,2010-11,0
1970-01-01 00:00:00.000000131,2010-12,81
1970-01-01 00:00:00.000000132,2011-1,0
1970-01-01 00:00:00.000000133,2011-2,0
1970-01-01 00:00:00.000000134,2011-3,16
1970-01-01 00:00:00.000000135,2011-4,123
1970-01-01 00:00:00.000000136,2011-5,235
1970-01-01 00:00:00.000000137,2011-6,314
1970-01-01 00:00:00.000000138,2011-7,356
1970-01-01 00:00:00.000000139,2011-8,409
1970-01-01 00:00:00.000000140,2011-9,207
1970-01-01 00:00:00.000000141,2011-10,112
1970-01-01 00:00:00.000000142,2011-11,0
1970-01-01 00:00:00.000000143,2011-12,0
1970-01-01 00:00:00.000000144,2012-1,10
1970-01-01 00:00:00.000000145,2012-2,1
1970-01-01 00:00:00.000000146,2012-3,37
1970-01-01 00:00:00.000000147,2012-4,269
1970-01-01 00:00:00.000000148,2012-5,113
1970-01-01 00:00:00.000000149,2012-6,175
1970-01-01 00:00:00.000000150,2012-7,226
1970-01-01 00:00:00.000000151,2012-8,282
1970-01-01 00:00:00.000000152,2012-9,81
1970-01-01 00:00:00.000000153,2012-10,38
1970-01-01 00:00:00.000000154,2012-11,68
1970-01-01 00:00:00.000000155,2012-12,5
1970-01-01 00:00:00.000000156,2013-1,0
1970-01-01 00:00:00.000000157,2013-2,8
1970-01-01 00:00:00.000000158,2013-3,26
1970-01-01 00:00:00.000000159,2013-4,32
1970-01-01 00:00:00.000000160,2013-5,359
1970-01-01 00:00:00.000000161,2013-6,325
1970-01-01 00:00:00.000000162,2013-7,301
1970-01-01 00:00:00.000000163,2013-8,211
1970-01-01 00:00:00.000000164,2013-9,172
1970-01-01 00:00:00.000000165,2013-10,131
1970-01-01 00:00:00.000000166,2013-11,0
1970-01-01 00:00:00.000000167,2013-12,4
1970-01-01 00:00:00.000000168,2014-1,0
1970-01-01 00:00:00.000000169,2014-2,12
1970-01-01 00:00:00.000000170,2014-3,10
1970-01-01 00:00:00.000000171,2014-4,80
1970-01-01 00:00:00.000000172,2014-5,141
1970-01-01 00:00:00.000000173,2014-6,342
